sid;uid;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41;npos;nneu;nneg;form3;form2;form1;form0;comment8;comment18;dur0;dur1;dur2;dur3;dur4;dur5;datetime;
07150237;;-3;-2;-3; 0;+2;-2;+1;+5;+2;+1;+3; 0;+3;+4;+2;+1;+1;-5; 0;+1; 0;-1;-2;-1;-4;-1;+2;-2;-1; 0;-4;-2;-3;-1;+2; 0;+1;+3;-1;+4; 0;12;23;6;123;1;2;1;(s8) max test 2;(s18) max test 2;127;31;71;5;8;13;2016-07-15 02:37:51;
07151050;;-3;+3;+4;+5;+2;+1;+3;-2;-3;-5;+1; 0;+2;+4; 0; 0;+2;+1;+2; 0;+3;-1; 0;-4; 0;-1;-2;+1;-3;-2;+1;-1;-1;-2;+1;-4;-1;+2;-1; 0;-2;12;19;10;Max;0;4;0;(s4) hoffentlich;(s10) nöh;637;257;293;5;60;22;2016-07-15 10:50:58;
07151103;;-3;-2;+4; 0;-1;+2;-5; 0;+1;-1;+2;+1;-4;+3;-1;-3;+1;-4;-2;-2;+5; 0;-1;-2; 0;+1;+2;+1; 0;-1;+2;+4;-2;+3;+2;+1;-1;+3; 0; 0;-3;18;10;13;Max;1;4;0;(s21) pff;(s7) pff2;694;351;308;6;17;10;2016-07-15 11:03:00;
07150128;; 0;+1;-1; 0;-2;+1;-1;+1;-1;-1; 0;+1;-1;-2;+1;+3;+2;-2;+2; 0; 0;+3;+5;-1;-2;-5;+4;+4;+1;-3;-3;-4; 0;-3; 0;-2;+2;+2;+3;+2;-4;21;11;9;23;1;2;1;(s23) Monetäre Anreize bilden sehr gut den eigenen Wert ab und ermöglichen es den betroffenen Personen Anerkennung zu erlangen;(s26) Ein befristeter Arbeitsvertrag bedeutet Zukunftsunsicherheit und Belastung/Stress.;623;198;278;20;103;24;2016-07-15 13:28:34;
07150130;;-2;+1;-3;+5;-1; 0; 0;-1;-3;+2;+1;-2;+4;-4;+1;-1;+4; 0;-1;+2;+1;+3;+3;+1; 0;-4;-2; 0;+3;+2;-2;-1;+2;-5;+1; 0;-1;+2;-2;-3; 0;21;10;10;22;0;3;1;(s4) Da man die meiste Zeit seines Lebens am Arbeitsplatz verbringt und man seine Lebenszeit nicht sinnlos gestalten will;(s34) Ich möchte nicht, das die Arbeit mein gesamtes Leben bestimmt und möchte nicht krank werden durch Stress,...(burn-out);709;234;230;68;125;51;2016-07-15 13:30:08;
07150135;;-3; 0;-2;-1;-2;+2;-4; 0;+1;-4; 0;-1;+3;-2;+1;-3; 0;-1;-5;+1;+1;+5;+1;-1;+1;+2;+3;+4;+4; 0;-2; 0; 0;-2;+3;-3;+2;+2;-1;+2;-1;9;11;21;15;1;2;0;(s22) Es wird immer wichtiger soziale kompetenzen zu zeigen und sich im unternehmen mit jedem gut zu stellen;(s19) Ich denke dass in den meisten unternehmen das arbeitsumfeld  vorgegeben sein wird;858;277;393;38;132;19;2016-07-15 13:35:26;
07150136;;+3;-1;-3;+3; 0;+1;+1; 0;-2;-1;-1;+1;-3;-5;+2; 0;+4; 0; 0; 0;+2;+2;+1;-3;+2;-1;-4;-4;+4;+5;-2;-1;-1; 0;+2;-2;+1;+1;+3;-2;-2;20;14;7;6;0;3;0;(s30) Im Berufsleben ist vieles geregelt. Freizeit sollte dem Zweck dienen ein Kontrastprogramm zu diesem vorgegebenen Berufsalltag zu schaffen und somit seinem Körper eine Ruhephase zusprechen zu können.;(s14) Arbeit sollte nicht als der zentrale Lebensinhalt definiert werden und somit sollte das Leben nicht an der Arbeit komplett orientiert werden. Aus diesem Grund ist es nicht erstrebenswert die Motivation des Lebens der Arbeit zuzuschreiben.;1019;225;329;33;393;39;2016-07-15 13:36:05;
07150137;;+2;+1;-5;+4;+3; 0; 0;-1;+1;-2;-1; 0;+1;-2;+2; 0;+5;+1;-1;-1; 0;+2;+3;-1;+1;-4;-4;-3;+3;+2;-2;-3;+1;-2;-2;-1; 0;+4;+2; 0;-3;23;7;11;18;0;4;0;(s17) Es ist wichtig respektiert zu werden und die vollbrachte Arbeit dementsprechende gewürdigt wird;(s3) Arbeit und Freizeit lassen sich in meinem späteren Job nicht so einfach trennen;1133;463;467;15;153;36;2016-07-15 13:37:22;
07150137;; 0;-1;+1; 0;+1;+2;+1; 0;+1;-1;+4;-4;-2;-5;+2;-1; 0;-2;-4;-1;+2;-1;-1;+3;-2; 0;+3;+4; 0;+5;-3;-3;-3;+3;+1;-2;+2;+1;+2; 0;-2;17;5;19;11;1;2;0;(s30) Struktur sehe ich in meinem (wahrscheinlichen) zukünftigen Arbeitsleben als äußerst wichtig an. Umso wichtiger wird es für mich dann, die verbleibende Freizeit spontan gestalten zu können.;(s14) Arbeit ist eine notwendige Tätigkeit in unsere Gesellschaft, um ein Leben nach seinen Interessen gestalten zu können. Wenn ich jedoch die frei Wahl hätte, würde ich mein Leben für andere Tätigkeiten verwenden als arbeiten.;1168;449;481;11;199;28;2016-07-15 13:37:54;
07150140;;+3;+4; 0;-4;+2;+1; 0;+3;-2;+5;-1;+1;-2;-5;+2;-2;+1;+2;+3;+1;-1; 0;-3; 0; 0;+2;-3; 0; 0;-1;-2;-1;+2;-4;-1;-1;+1;+1;+4;-3;-2;19;10;12;16;0;4;0;(s10) Je nach den persönlichen Ansprüchen, arbeitet man um monetär entlohnt zu werden und einen angestrebten Lebensstil führen kann;(s14) Ich lebe um zu LEBEN und nicht um zu arbeiten;1264;504;584;12;132;31;2016-07-15 13:40:12;
